molecule_chembl_id,canonical_smiles,pIC50
CHEMBL461622,Nc1scc2c(C(=O)O)nn(-c3ccccc3)c(=O)c12,4.346884006834433
CHEMBL1587422,Cc1ccc(C)c(-n2c3nc(=O)[nH]c(=O)c-3cc3cc([N+](=O)[O-])ccc32)c1,4.82623117686335
CHEMBL1344491,CCCc1nnc(NC(=O)c2nc(S(=O)(=O)Cc3cccc(C)c3)ncc2Cl)s1,4.0
CHEMBL1509648,Cc1ccc(/C=C/C(=O)Nc2ccc([N+](=O)[O-])c(NC(=O)/C=C/c3ccc(C)o3)c2)o1,4.0
CHEMBL1509676,COC(=O)c1ccc(N2NC(=O)/C(=C/c3ccc(-c4ccc(Cl)c(C(=O)O)c4)o3)C2=O)cc1,4.923359556329658
CHEMBL1541379,CSc1nnc(NC(=O)c2nc(S(=O)(=O)Cc3ccccc3)ncc2Cl)s1,4.2955063029907015
CHEMBL1509704,CSc1ccc(C(c2c(C(=O)O)[nH]c3ccccc23)c2c(C(=O)O)[nH]c3ccccc23)cc1,4.311936303053655
CHEMBL1402473,Cc1nc(COC(=O)c2cc(O)c3ccccc3c2O)cs1,4.366026844210326
CHEMBL3145223,Cc1[nH]n(-c2ccccc2)c(=O)c1C(c1ccc(O)c([N+](=O)[O-])c1)c1c(C)[nH]n(-c2ccccc2)c1=O,4.542723813938674
CHEMBL1402497,CCCCCCSc1nc(O)c(C2OC(=O)c3c2ccc(OC)c3OC)c(=O)n1CC,4.244582537189063
CHEMBL1532323,O=C(CCN1C(=O)/C(=C\c2ccccc2F)SC1=S)Nc1ccc(C(=O)O)c(O)c1,4.488517711373999
CHEMBL1492926,CC1=NN(c2ccc(Cl)c(C(=O)O)c2)C(=O)/C1=C\c1ccc(-c2ccc(C(=O)O)cc2)o1,4.711303739409744
CHEMBL3194554,C=CCOC(=O)C1=C(C)N=c2s/c(=C3\C(=O)N(CC(=O)O)c4ccccc43)c(=O)n2C1c1ccc(OC)cc1.CC(=O)O,4.226432951073941
CHEMBL1880447,CC1=NN(c2ccccc2)C(=O)C1=Cc1ccccc1,4.225994269741791
CHEMBL1732567,O=C(O)C1=CC[C@@H](c2ccc(Cl)cc2)N(S(=O)(=O)c2ccc(Cl)cc2)[C@H]1c1ccc(Br)cc1,4.437707135543525
CHEMBL1440703,CC(=O)Nc1cc(OC(C)=O)c2nonc2c1OC(C)=O,4.419759491734624
CHEMBL1458660,Cc1ccc(S(=O)(=O)Nc2ccccc2-c2ccccc2NS(=O)(=O)c2ccc(C)cc2)cc1,4.26129869956529
CHEMBL1431163,CN(C)S(=O)(=O)c1cccc(-c2nn(-c3ccccc3)cc2/C=C2\SC(=S)N(CC(=O)O)C2=O)c1,4.099414413350038
CHEMBL1351902,Cc1c(N)cc(N)cc1C(=O)O,4.0
CHEMBL1470408,O=C(O)CC/C(=C\c1ccc(N2CCCC2)c([N+](=O)[O-])c1)c1nc2ccccc2s1,4.365623505911632
CHEMBL1502247,Cc1cccc(C2C3=C(O)c4ccccc4C3=Nc3nn(-c4ccccc4)c(O)c32)c1,4.2262135550188065
CHEMBL1541247,CCCCCCCCn1c(=O)c(C(=O)OCC)c(O)c2ccccc21,4.1125514997500465
CHEMBL1304529,O=C(O)c1[nH]c2ccccc2c1C(c1ccccc1)c1c(C(=O)O)[nH]c2ccccc12,4.777283528852417
CHEMBL3195827,COc1ccccc1NC1=C(NC(C)=O)C(=O)c2ccccc2C1=O,4.0
CHEMBL1327816,O=C1C(=O)c2c(C(=O)c3ccccc3)coc2-c2ccccc21,4.084652937675808
CHEMBL1564253,O=c1oc2c3c4c(cc2s1)CCCN4CCC3,4.061880730805688
CHEMBL1424064,CC(C)(C)C1CCc2c(sc(NC(=O)C3CC=CCC3C(=O)O)c2C#N)C1,4.4040630937308265
CHEMBL1571258,O=C1NC(=O)C(=Cc2ccc(Sc3ccccc3)o2)C(=O)N1,4.0
CHEMBL1509826,COc1ccc(OC)c(N2C(=O)NC(=O)/C(=C/c3ccc([N+](=O)[O-])s3)C2=O)c1,4.726304412069908
CHEMBL1391887,COc1cc(/C=C2/C(=O)ON=C2C)ccc1OCc1cccc(F)c1,4.617442678091214
CHEMBL1580345,Cc1ccc(-n2c3nc(=O)[nH]c(=O)c-3cc3cc([N+](=O)[O-])ccc32)cc1,4.639595945270061
CHEMBL1733061,CC1=C(O)C(O)=C(C2=C(O)C(O)=C(C)C(=O)C2=O)C(=O)C1=O,4.548367052543009
CHEMBL1713628,Nc1ccc(S(=O)(=O)Nc2nccs2)cc1N=Nc1ccccc1[N+](=O)[O-],4.1888273049334455
CHEMBL1990734,O=C(O)c1ccccc1N=N/C(=N/Nc1cc(S(=O)(=O)[O-])ccc1O)c1ccccc1.[Na+],4.719421629631924
CHEMBL1392064,COc1ccc(Nc2cc(Cl)ccc2C(=O)O)cn1,4.197226274708024
CHEMBL1462969,CCOc1ccc(C(c2c(O)n(C)c(SC)nc2=O)c2c(O)n(C)c(SC)nc2=O)cc1,4.3663295939485565
CHEMBL1352170,Cc1c(N=C2C=C(Br)C(=O)C(Br)=C2)c(=O)n(-c2ccccc2)n1C,4.0836513477245395
CHEMBL1449785,COC(=O)CCC(=O)OC1(C)C(=O)C2=CN(c3ccccc3)C(c3ccc(OC)cc3)=CC2=C(Br)C1=O,4.0
CHEMBL3216654,COc1cc(NCCCC(C)N)c2ncccc2c1.Cl.Cl,4.0
CHEMBL1481016,O=C(O)C(c1ccccc1)N1C(=O)/C(=C/c2cccs2)SC1=S,4.328827157284917
CHEMBL1991599,Oc1ccc(/C=N/N2CCOCC2)c(O)c1O,4.347077112432058
CHEMBL1312212,COc1cccc(NS(=O)(=O)c2ccc3c(c2)C2C=CCC2C(c2ccc(C(=O)O)cc2)N3)c1,4.174054856796152
CHEMBL202043,O=C1/C(=C/c2ccc(F)cc2)SC(=S)N1NS(=O)(=O)c1ccccc1,4.435689090039397
CHEMBL1452526,Cc1ccc(/C=C2\SC(=S)N(NS(=O)(=O)c3ccc(C)cc3)C2=O)cc1,4.586197483230649
CHEMBL1173036,O=C(O)c1ccccc1-c1ccccc1C(=O)Nc1ccc2c(c1)oc(=O)c1ccccc12,4.249337353865944
CHEMBL1587876,Cc1ccc(C(=O)C2=C(O)C(=O)OC2c2ccc(Cl)cc2)cc1,4.215953584191887
CHEMBL1392200,Fc1cccc2sc(Nc3nnc(-c4ccccc4)o3)nc12,4.299209778625653
CHEMBL1532491,O=c1oc2ccccc2c(O)c1[C@H]1c2ccc(O)cc2Oc2c1c(=O)oc1ccccc21,4.0930188467711455
CHEMBL1714002,COC1=C(Br)C(=O)c2ncccc2C1=O,5.467245621007502
CHEMBL1549172,COc1cccc(N2C(=O)NC(=O)/C(=C/c3ccc([N+](=O)[O-])s3)C2=O)c1,4.419987887470576
CHEMBL1392133,Cc1sc(NC(=O)C2CCCCC2C(=O)O)c(C(N)=O)c1-c1ccc(C(C)C)cc1,4.202871012203447
CHEMBL1431490,O=C(CSc1nnc(-c2ccco2)c(-c2ccco2)n1)Nc1ccccc1,4.0
CHEMBL1431570,Cc1ccc(/C=C2/C(=O)NC(=O)N(CC3CCCO3)C2=O)s1,4.0
CHEMBL1532549,O=[N+]([O-])c1cccc(/C=C/c2nc(O)nc(O)c2[N+](=O)[O-])c1,4.137928280620006
CHEMBL1713747,CCCCC[C@@H]1C=C(C(=O)O)[C@H](c2ccc(Cl)cc2)N1S(=O)(=O)c1ccc(C)cc1,4.373762314853099
CHEMBL1610098,O=C1/C(=C/c2nc3ccccc3[nH]2)SC(=S)N1NS(=O)(=O)c1ccccc1,4.2616952069258955
CHEMBL1392332,O=C1OC(c2ccccc2)C(C(=O)c2ccc(Cl)cc2)=C1O,4.078625704581525
CHEMBL1881266,N#C/C(=C\c1ccccc1)C(=O)NNS(=O)(=O)c1cccc([N+](=O)[O-])c1,4.285670240254767
CHEMBL1881398,COc1cc(/C=C2\C(=O)N(c3cccc(C(=O)O)c3)N=C2C)ccc1OCc1ccccc1,5.097453220686009
CHEMBL1714335,Cc1ccccc1C1=C/C(=C(\SS/C(C(=O)c2ccc(OCC(=O)O)c(Cl)c2Cl)=C2\C=C(c3ccccc3C)SS2)C(=O)c2ccc(OCC(=O)O)c(Cl)c2Cl)SS1,5.0338582672609675
CHEMBL1714348,O=C1C(=NO)CCc2ccccc21,4.05266432405126
CHEMBL1470869,CCCCNC(=O)c1onc(CSc2cccc3ccccc23)c1C(=O)O,4.304255724802677
CHEMBL1502839,CCn1c(CSc2nnc3ccccn23)nc2cc(C(=O)O)ccc21,4.6343248595440825
CHEMBL1335410,CCC1(C)Cc2c(sc3[nH]c(=O)[nH]c(=O)c23)CS1,4.052223291535261
CHEMBL1571467,Cc1ccc(/C=C2\SC(=S)N(C(Cc3ccccc3)C(=O)O)C2=O)cc1,4.407268233606038
CHEMBL1580660,O=S(=O)(Nc1nc(-c2sccc2Cl)cs1)c1cc(Cl)ccc1Cl,4.380489279161502
CHEMBL1318520,Cc1ccc(S(=O)(=O)N2[C@@H](c3ccc(C(C)(C)C)cc3)C(C(=O)O)=CC[C@H]2c2ccc(Cl)cc2)cc1,4.401866354186763
CHEMBL1312739,COc1cc(/C=C2/C(=O)NC(=O)N(c3ccccc3)C2=O)ccc1O,4.0
CHEMBL1994988,O=[N+]([O-])c1cc(Cl)cc(/C=N/NC(=S)Nc2ccc(S(=O)(=O)N3CCOCC3)cc2)c1O,4.0
CHEMBL1902287,CC(Cc1ccc(O)cc1)NCC(O)c1ccc(O)c(O)c1.O=C(O)c1ccccc1,4.0
CHEMBL1510455,COc1ccc(N2C(=O)NC(=O)/C(=C\c3ccc([N+](=O)[O-])s3)C2=O)cc1,4.4077121840478695
CHEMBL1541889,O=C(NNc1ccc(O)cc1)c1ccc(Br)cc1,4.0
